title,creation_date,date_acquired,cited_name,party_type,ratio,gender,usable_name
Keith Haring,1984,2002,"Mapplethorpe, Robert",,100,M,Robert
Untitled,1964-1965,2002,"Baer, Jo",,99,F,Jo
Trans East West (Tew) No. 5: The Attack of the Embassy (Reconstruction),1999,2002,"Ackermann, Franz",,100,M,Franz
Trans East West (Tew) No. 6: Rebuilding Beyrut,1999,2002,"Ackermann, Franz",,100,M,Franz
Trans East West (Tew) No. 7: Bombing the Power Plant,1999,2002,"Ackermann, Franz",,100,M,Franz
Trans East West (Tew) No. 8: Suddenly It was Completely Dark (Maybe Because I Closed My Eyes),1999,2002,"Ackermann, Franz",,100,M,Franz
"Trans East West (Tew) No. 9: The ""Meridien"" Will Have a Nice View",1999,2002,"Ackermann, Franz",,100,M,Franz
Trans East West (Tew) No. 10: To the People of Damascus,1999,2002,"Ackermann, Franz",,100,M,Franz
Trans East West (Tew) No. 11: Former Restaurant,1999,2002,"Ackermann, Franz",,100,M,Franz
Trans East West (Tew) No. 12: The Neighbours,1999,2002,"Ackermann, Franz",,100,M,Franz
Trans East West (Tew) No. 13: The President,1999,2002,"Ackermann, Franz",,100,M,Franz
Trans East West (Tew) No. 14: To the People of Damascus,1999,2002,"Ackermann, Franz",,100,M,Franz
Trans East West (Tew) No. 15: Cinema Beyrut,1999,2002,"Ackermann, Franz",,100,M,Franz
Trans East West (Tew) No. 16: Secret Excavations in Pigman's Land,1999,2002,"Ackermann, Franz",,100,M,Franz
Pill Lamp,1968,2001,"Casati, Cesare",,100,M,Cesare
Pill Lamp,1968,2001,"Ponzio, Emanuele",,100,M,Emanuele
Pill Lamp,1968,2001,"Casati, Cesare",,100,M,Cesare
Pill Lamp,1968,2001,"Ponzio, Emanuele",,100,M,Emanuele
Pill Lamp,1968,2001,"Casati, Cesare",,100,M,Cesare
Pill Lamp,1968,2001,"Ponzio, Emanuele",,100,M,Emanuele
Pill Lamp,1968,2001,"Casati, Cesare",,100,M,Cesare
Pill Lamp,1968,2001,"Ponzio, Emanuele",,100,M,Emanuele
Two Cruet Bottles on Stand, 1851,2002,"Pugin, Augustus Welby Northmore",,100,M,Augustus
Ewer,1864,2002,"Ivory, Alfred",,99,M,Alfred
Ewer,1868,2002,"Ivory, Alfred",,99,M,Alfred
Jug, 1870,2002,"Dresser, Christopher",,100,M,Christopher
Jug, 1880,2002,"Dresser, Christopher",,100,M,Christopher
Jug, 1885,2002,"Dresser, Christopher",,100,M,Christopher
Jug, 1885,2002,"Dresser, Christopher",,100,M,Christopher
Jug, 1885,2002,"Dresser, Christopher",,100,M,Christopher
Vase,late 19th century,2002,"Dresser, Christopher",,100,M,Christopher
Hôtel de la Duchesse de Villars--rue des Saints-Pères,1901-1902,2002,"Atget, Eugène",,,,Eugène
Ancien Monastère des Bénédictins anglais--269 rue Saint-Jacques,1905,2002,"Atget, Eugène",,,,Eugène
Silver Goblet, 1774,1922,"Aldridge, Charles",,100,M,Charles
Silver Goblet, 1774,1922,"Green, Henry",,100,M,Henry
Green Jacket,1989,2001,"Katz, Alex",,97,M,Alex
"Fontaine du Montreuil, faubourg Saint-Antoine (à l'angle de la rue de Charonne)",1904-1905,2002,"Atget, Eugène",,,,Eugène
Plymet cabinet,1945-1946,2002,"Latimer, Clive",,100,M,Clive
Study for Autumn Foliage,1867,2002,"Newman, Henry Roderick",,100,M,Henry
Paysage du Bassin d'Arcachon, 1930,2002,"Lhote, André",,,,André
"Radierung für ""24 Essais de Jakovski""",1934,2002,"Kandinsky, Vassily",,,,Vassily
"Rue (du Chevalier) de la Barre-Montmarte, 18e arrondissement",1899-1900,2002,"Atget, Eugène",,,,Eugène
"Cabaret de l'Épée de Bois - ou fut assassiné, sous la Régence, le financier Lacroix par le Comte de Horn, rue Quincampoix 54 (4e arrondissement)",1901,2002,"Atget, Eugène",,,,Eugène
"Hôtel, 50 rue de Turenne",1913,2002,"Atget, Eugène",,,,Eugène
"Façade d'une maison, quai de l'Horloge 21",1913,2002,"Atget, Eugène",,,,Eugène
Man with Three Children,late 19th-early 20th century,,Runick,,,,Runick
Soga Goro,late 19th-early 20th century,,Maru Ki,,,,Maru
Young Girl,late 19th-early 20th century,,Nobu Uki,,,,Nobu
Ainu Hunter,late 19th-early 20th century,,Ho Shin,,100,M,Ho
Portrait bust of Mr. H.J. Heinz, 1901,,Uda Gawa,,,,Uda
Bust of Antigone,no date,,"Rudolph, B.",,,,B.
Figure of a Snake Charmer,no date,,Glenn,,99,M,Glenn
Two Sumo Wrestlers,late 19th-early 20th century,,Giryo,,,,Giryo
Convivial Friends - Group of Three Men out for a Picnic,late 19th-early 20th century,,Shidzu Nore,,,,Shidzu
Head of Herodatus in a Bowl,no date,,Caroley L'Micciotti,,,,Caroley
Figure of a Sage,no date,,Sosai,,,,Sosai
Figure of a Sage,no date,,Sosai,,,,Sosai
Old woman with a broom,no date,,Sosai,,,,Sosai
Man playing a drum,no date,,Sosai,,,,Sosai
An artist with brush and ink plate,no date,,Sosai,,,,Sosai
Netsuke: Figure of a Monkey Eating a Large Tangerine,19th century,,Ransen,,,,Ransen
"Seated figure of Sakyamuni, the historic Buddha",20th century,,Sosai,,,,Sosai
Standing figure of a woman holding a bunch of flowers,20th century,,Sosai,,,,Sosai
Standing figure of an old gentleman playing a flute,20th century,,Sosai,,,,Sosai
Untitled,1958,2002,"Wou-Ki, Zao",,,,Zao
Wound (Beuys meets Warhol),2002,2002,"Dumas, Marlene",,100,F,Marlene
Shadow (Andy meets Warhol),2002,2002,"Dumas, Marlene",,100,F,Marlene
MD+AW,2002,2002,"Dumas, Marlene",,100,F,Marlene
Star (Andy Warhol meets David Bowie),2002,2002,"Dumas, Marlene",,100,F,Marlene
Figment (Homage to Andy Warhol),2002,2002,"Dumas, Marlene",,100,F,Marlene
Portrait of a Young Girl, 1940,2002,"Laurencin, Marie",,100,F,Marie
Bookplate,no date,2002,"Vedder, Elihu",,100,M,Elihu
Snuff bottle,no date,1938,Yen Chung San,,90,F,Yen
Dinner plate,1755-1756,1970,"Archambo, Peter",,100,M,Peter
Dinner plate,1755-1756,1970,"Meure, Peter",,100,M,Peter
Marcel Duchamp,1964,2002,"Michals, Duane",,99,M,Duane
Jeanne Moreau,1967,2002,"Michals, Duane",,99,M,Duane
David Hemmings,1968,2002,"Michals, Duane",,99,M,Duane
Andy Warhol,1972,2002,"Michals, Duane",,99,M,Duane
Andy Warhol,1958,2002,"Michals, Duane",,99,M,Duane
Balthus and Setsuko,2000,2002,"Michals, Duane",,99,M,Duane
A Gursky Gherkin is Just a Very Large Pickle,2001,2002,"Michals, Duane",,99,M,Duane
From the Dead Saint's Shit Series: St. Francis of Assisi's Feces with burning cross....,2001,2002,"Michals, Duane",,99,M,Duane
Duane's Super Shiner: Self Portrait in the Manner of Nan Goldin,2001,2002,"Michals, Duane",,99,M,Duane
I Like Pussy,2001,2002,"Michals, Duane",,99,M,Duane
An Unfortunate Tryst with Pipilotti Rist,2001,2002,"Michals, Duane",,99,M,Duane
A Duane Michals Photograph of a Sherrie Levine Photograph of a Walker Evans Photograph,2001,2002,"Michals, Duane",,99,M,Duane
Dr. Duanus's Infernal Tongue-in-Cheeky Journal,2001,2002,"Michals, Duane",,99,M,Duane
Universe (Agnes)/Positive,2000-2002,2002,"Albenda, Ricci",,57,F,Ricci
Utopia,2002,2002,"Harrison, Rachel",,100,F,Rachel
Refractional Series #28,1967,2002,"Amino, Lee",,77,M,Lee
Farmslave in Massecuschitz (small stage),1999,2002,"Bock, John",,100,M,John
Several Drawings on Top of Each Other,1990-2002,2002,"Manders, Mark",,100,M,Mark
Driftwood,2001-2002,2002,"Doig, Peter",,100,M,Peter
Dining chair,1901,2002,"Olbrich, Josef M.",,100,M,Josef
Dining chair,1902-1903,2002,"Behrens, Peter",,100,M,Peter
Samovar, 1904,2002,"Paul, Bruno",,100,M,Bruno
