title,creation_date,date_acquired,cited_name,party_type
Keith Haring,1984,2002,"Mapplethorpe, Robert",
Untitled,1964-1965,2002,"Baer, Jo",
Trans East West (Tew) No. 5: The Attack of the Embassy (Reconstruction),1999,2002,"Ackermann, Franz",
Trans East West (Tew) No. 6: Rebuilding Beyrut,1999,2002,"Ackermann, Franz",
Trans East West (Tew) No. 7: Bombing the Power Plant,1999,2002,"Ackermann, Franz",
Trans East West (Tew) No. 8: Suddenly It was Completely Dark (Maybe Because I Closed My Eyes),1999,2002,"Ackermann, Franz",
"Trans East West (Tew) No. 9: The ""Meridien"" Will Have a Nice View",1999,2002,"Ackermann, Franz",
Trans East West (Tew) No. 10: To the People of Damascus,1999,2002,"Ackermann, Franz",
Trans East West (Tew) No. 11: Former Restaurant,1999,2002,"Ackermann, Franz",
Trans East West (Tew) No. 12: The Neighbours,1999,2002,"Ackermann, Franz",
Trans East West (Tew) No. 13: The President,1999,2002,"Ackermann, Franz",
Trans East West (Tew) No. 14: To the People of Damascus,1999,2002,"Ackermann, Franz",
Trans East West (Tew) No. 15: Cinema Beyrut,1999,2002,"Ackermann, Franz",
Trans East West (Tew) No. 16: Secret Excavations in Pigman's Land,1999,2002,"Ackermann, Franz",
Pill Lamp,1968,2001,"Casati, Cesare",
Pill Lamp,1968,2001,"Ponzio, Emanuele",
Pill Lamp,1968,2001,"Casati, Cesare",
Pill Lamp,1968,2001,"Ponzio, Emanuele",
Pill Lamp,1968,2001,"Casati, Cesare",
Pill Lamp,1968,2001,"Ponzio, Emanuele",
Pill Lamp,1968,2001,"Casati, Cesare",
Pill Lamp,1968,2001,"Ponzio, Emanuele",
Two Cruet Bottles on Stand, 1851,2002,"Pugin, Augustus Welby Northmore",
Ewer,1864,2002,"Ivory, Alfred",
Ewer,1868,2002,"Ivory, Alfred",
Jug, 1870,2002,"Dresser, Christopher",
Jug, 1880,2002,"Dresser, Christopher",
Jug, 1885,2002,"Dresser, Christopher",
Jug, 1885,2002,"Dresser, Christopher",
Jug, 1885,2002,"Dresser, Christopher",
Vase,late 19th century,2002,"Dresser, Christopher",
Hôtel de la Duchesse de Villars--rue des Saints-Pères,1901-1902,2002,"Atget, Eugène",
Ancien Monastère des Bénédictins anglais--269 rue Saint-Jacques,1905,2002,"Atget, Eugène",
Silver Goblet, 1774,1922,"Aldridge, Charles",
Silver Goblet, 1774,1922,"Green, Henry",
Green Jacket,1989,2001,"Katz, Alex",
"Fontaine du Montreuil, faubourg Saint-Antoine (à l'angle de la rue de Charonne)",1904-1905,2002,"Atget, Eugène",
Plymet cabinet,1945-1946,2002,"Latimer, Clive",
Study for Autumn Foliage,1867,2002,"Newman, Henry Roderick",
Paysage du Bassin d'Arcachon, 1930,2002,"Lhote, André",
"Radierung für ""24 Essais de Jakovski""",1934,2002,"Kandinsky, Vassily",
"Rue (du Chevalier) de la Barre-Montmarte, 18e arrondissement",1899-1900,2002,"Atget, Eugène",
"Cabaret de l'Épée de Bois - ou fut assassiné, sous la Régence, le financier Lacroix par le Comte de Horn, rue Quincampoix 54 (4e arrondissement)",1901,2002,"Atget, Eugène",
"Hôtel, 50 rue de Turenne",1913,2002,"Atget, Eugène",
"Façade d'une maison, quai de l'Horloge 21",1913,2002,"Atget, Eugène",
Man with Three Children,late 19th-early 20th century,,Runick,
Soga Goro,late 19th-early 20th century,,Maru Ki,
Young Girl,late 19th-early 20th century,,Nobu Uki,
Ainu Hunter,late 19th-early 20th century,,Ho Shin,
Portrait bust of Mr. H.J. Heinz, 1901,,Uda Gawa,
Bust of Antigone,no date,,"Rudolph, B.",
Figure of a Snake Charmer,no date,,Glenn,
Two Sumo Wrestlers,late 19th-early 20th century,,Giryo,
Convivial Friends - Group of Three Men out for a Picnic,late 19th-early 20th century,,Shidzu Nore,
Head of Herodatus in a Bowl,no date,,Caroley L'Micciotti,
Figure of a Sage,no date,,Sosai,
Figure of a Sage,no date,,Sosai,
Old woman with a broom,no date,,Sosai,
Man playing a drum,no date,,Sosai,
An artist with brush and ink plate,no date,,Sosai,
Netsuke: Figure of a Monkey Eating a Large Tangerine,19th century,,Ransen,
"Seated figure of Sakyamuni, the historic Buddha",20th century,,Sosai,
Standing figure of a woman holding a bunch of flowers,20th century,,Sosai,
Standing figure of an old gentleman playing a flute,20th century,,Sosai,
Untitled,1958,2002,"Wou-Ki, Zao",
Wound (Beuys meets Warhol),2002,2002,"Dumas, Marlene",
Shadow (Andy meets Warhol),2002,2002,"Dumas, Marlene",
MD+AW,2002,2002,"Dumas, Marlene",
Star (Andy Warhol meets David Bowie),2002,2002,"Dumas, Marlene",
Figment (Homage to Andy Warhol),2002,2002,"Dumas, Marlene",
Portrait of a Young Girl, 1940,2002,"Laurencin, Marie",
Bookplate,no date,2002,"Vedder, Elihu",
Snuff bottle,no date,1938,Yen Chung San,
Dinner plate,1755-1756,1970,"Archambo, Peter",
Dinner plate,1755-1756,1970,"Meure, Peter",
Marcel Duchamp,1964,2002,"Michals, Duane",
Jeanne Moreau,1967,2002,"Michals, Duane",
David Hemmings,1968,2002,"Michals, Duane",
Andy Warhol,1972,2002,"Michals, Duane",
Andy Warhol,1958,2002,"Michals, Duane",
Balthus and Setsuko,2000,2002,"Michals, Duane",
A Gursky Gherkin is Just a Very Large Pickle,2001,2002,"Michals, Duane",
From the Dead Saint's Shit Series: St. Francis of Assisi's Feces with burning cross....,2001,2002,"Michals, Duane",
Duane's Super Shiner: Self Portrait in the Manner of Nan Goldin,2001,2002,"Michals, Duane",
I Like Pussy,2001,2002,"Michals, Duane",
An Unfortunate Tryst with Pipilotti Rist,2001,2002,"Michals, Duane",
A Duane Michals Photograph of a Sherrie Levine Photograph of a Walker Evans Photograph,2001,2002,"Michals, Duane",
Dr. Duanus's Infernal Tongue-in-Cheeky Journal,2001,2002,"Michals, Duane",
Universe (Agnes)/Positive,2000-2002,2002,"Albenda, Ricci",
Utopia,2002,2002,"Harrison, Rachel",
Refractional Series #28,1967,2002,"Amino, Lee",
Farmslave in Massecuschitz (small stage),1999,2002,"Bock, John",
Several Drawings on Top of Each Other,1990-2002,2002,"Manders, Mark",
Driftwood,2001-2002,2002,"Doig, Peter",
Dining chair,1901,2002,"Olbrich, Josef M.",
Dining chair,1902-1903,2002,"Behrens, Peter",
Samovar, 1904,2002,"Paul, Bruno",
"Study Establishing the Disposition of the Central Group Figures in ""The Sleep of Arthur at Avalon""", 1881,2002,"Burne-Jones, Edward Coley",
"Study of Architecture for ""The Sleep of Arthur at Avalon""", 1881,2002,"Burne-Jones, Edward Coley",
Acrylic stool,1990,2002,"Kuramata, Shiro",
Knotted Chair,1996,2002,"Wanders, Marcel",
Uptown Pittsburgh, 1923-1924,2002,"Archer, Charles K.",
The Coat,1961,2002,"Dine, Jim",
Two Panels: Green Orange,1970,2002,"Kelly, Ellsworth",
For Green,1968,2002,"Noland, Kenneth",
Big Sandwich,1961,2002,"Oldenburg, Claes",
Red Painting,1954,2002,"Reinhardt, Ad",
Montage, 1940,2002,"Shaw, Charles G.",
Australia II,1970,2002,"Stankiewicz, Richard P.",
Nazareth das Farinhas,2002,2002,"Milhazes, Beatriz",
Vista #40,2000,2002,"Bettison, Giles",
Fuschia/Violet,1994,2002,"Blomdahl, Sonja",
Pale Light,1996,2002,"Bohus, Zoltan",
Watching Your Every Move,1996,2002,"Brekke, John",
Hat,1998,2002,"Brenno, Brian",
